epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.46583,1.97791,5.4498,1.42764,4.27722,1.96859,0.00893,1,0.12437,0.03814,0,0,0,0,2.71144,11.977,1.38192,3.49446,2.91309,0.09604,4e-05,4e-05
2,3.36254,1.85062,4.42907,1.3301,3.8067,2.05749,0.00585,1,0.02261,0.007,0.00585,1,0.00809,0.00485,3.20394,11.9286,1.31254,3.47083,3.25505,0.0910896,8.95545e-05,8.95545e-05
3,3.97436,1.61507,4.30442,1.21217,2.93518,1.82192,0.00641,1,0.03317,0.00687,0.00641,1,0.00716,0.00072,2.73903,11.8776,1.22724,3.24385,2.61996,0.0861386,0.000138614,0.000138614
4,4.59057,1.4865,4.58088,1.10947,2.21174,1.5602,0.00585,1,0.02689,0.00595,0.00585,1,0.01047,0.00524,2.61982,11.9967,1.11405,3.31197,2.68507,0.0811872,0.000187178,0.000187178
5,5.20246,1.47981,4.15475,1.02641,1.88394,1.45834,0.00377,1,0.00822,0.00329,0.00377,1,0.00913,0.00253,3.02203,11.5362,1.03252,3.48413,2.39794,0.0762352,0.000235248,0.000235248
6,5.78528,1.50139,3.3921,0.90087,1.63132,1.42691,0.00347,1,0.00765,0.00077,0.00347,1,0.01951,0.01289,3.76441,11.5585,0.97715,3.65713,3.03313,0.0712828,0.000282823,0.000282823
7,6.38846,1.47252,4.75849,0.90708,1.62306,1.44309,0,0,0,0,0.00348,1,0.03685,0.02538,4.90101,11.9508,0.84348,3.32683,5.54462,0.0663299,0.000329902,0.000329902
8,6.97065,1.28335,2.90416,0.77562,1.33013,1.25199,0,0,0,0,0.00389,1,0.03431,0.02478,5.15164,11.9409,0.81622,3.23902,6.28036,0.0613765,0.000376486,0.000376486
9,7.64643,1.41155,4.06426,0.87723,1.26469,1.34583,0,0,0,0,0.11667,1,0.199,0.04382,4.97605,11.8739,0.77627,2.65252,6.59369,0.0564226,0.000422576,0.000422576
10,8.32335,1.31687,3.5953,0.80351,1.20855,1.27304,0,0,0,0,0.09422,1,0.199,0.06731,4.5576,11.9709,0.82791,2.27462,6.10839,0.0514682,0.00046817,0.00046817
11,9.04459,1.18518,4.48975,0.96913,1.02654,1.144,0,0,0,0,0.01754,1,0.14214,0.05054,4.39149,11.9812,0.84397,2.53732,6.24147,0.0465133,0.00051327,0.00051327
12,9.67672,1.37103,3.93929,0.88897,1.16351,1.24176,0,0,0,0,0.01852,1,0.0995,0.03266,4.26482,11.9869,0.834,1.92066,6.56333,0.0415579,0.000557874,0.000557874
13,10.3167,1.25426,3.75682,0.82505,1.01683,1.22574,0,0,0,0,0.01471,1,0.02551,0.02551,4.0951,11.9929,0.82938,1.56979,6.64447,0.036602,0.000601984,0.000601984
14,10.949,1.28668,3.34934,0.83665,1.02801,1.23619,0,0,0,0,0.01471,1,0.02551,0.02551,4.0951,11.9929,0.82938,1.56979,6.64447,0.0316456,0.000645599,0.000645599
15,11.5957,1.33333,3.55787,0.83765,1.07858,1.26154,0,0,0,0,0.01235,1,0.06633,0.06633,4.24592,11.9689,0.8261,1.59703,6.85835,0.0266887,0.000688718,0.000688718
16,12.2252,1.3717,2.67203,0.74829,1.03641,1.35592,0,0,0,0,0.20958,0.83834,0.24875,0.199,4.27065,11.9635,0.82612,1.60393,6.50268,0.0217313,0.000731343,0.000731343
17,12.9168,1.16214,3.82884,0.83301,0.97535,1.17164,0,0,0,0,0.3021,1,0.33167,0.199,4.08359,11.9782,0.82966,2.44441,5.37727,0.0167735,0.000773472,0.000773472
18,13.5516,1.1423,3.71837,0.86432,1.03142,1.18398,0,0,0,0,0.3021,1,0.33167,0.199,4.08359,11.9782,0.82966,2.44441,5.37727,0.0118151,0.000815107,0.000815107
19,14.2024,1.15537,3.61706,0.85551,0.92365,1.18661,0.00847,1,0.01276,0.00383,0.82503,1,0.995,0.4975,3.71784,11.5271,0.82308,2.57186,3.59548,0.00685625,0.000856246,0.000856246
20,14.8522,1.27294,3.9712,0.90788,1.03151,1.17601,0.00763,1,0.05853,0.02341,0.32236,1,0.995,0.20164,2.97645,11.6003,0.82874,3.47064,3.3449,0.00189689,0.000896891,0.000896891
21,15.4967,1.19545,3.99241,0.79257,0.95242,1.21927,0.00763,1,0.05853,0.02341,0.32236,1,0.995,0.20164,2.97645,11.6003,0.82874,3.47064,3.3449,0.000901,0.000901,0.000901
22,16.1397,1.06734,3.45318,0.87189,0.92572,1.11307,0.00794,1,0.02764,0.00553,0.78466,1,0.995,0.4975,3.14778,11.4785,0.82113,3.85033,3.4192,0.00089605,0.00089605,0.00089605
23,16.7875,1.01681,3.35156,0.84355,0.86803,1.09477,0,0,0,0,0.82112,1,0.995,0.40324,3.70095,11.2971,0.81789,3.76033,3.7262,0.0008911,0.0008911,0.0008911
24,17.3226,1.09249,3.74993,0.85666,0.89777,1.10937,0,0,0,0,0.82112,1,0.995,0.40324,3.70095,11.2971,0.81789,3.76033,3.7262,0.00088615,0.00088615,0.00088615
25,17.8757,0.96863,3.66286,0.90704,0.81108,1.07885,0,0,0,0,0.47064,1,0.4975,0.20563,4.00118,11.7291,0.81276,2.92473,4.60967,0.0008812,0.0008812,0.0008812
26,18.4176,0.90637,3.63727,0.8773,0.87636,1.01411,0,0,0,0,0.47064,1,0.4975,0.20563,4.00118,11.7291,0.81276,2.92473,4.60967,0.00087625,0.00087625,0.00087625
27,18.987,1.02276,2.78875,0.78346,0.93794,1.11084,0.46999,0.93998,0.4975,0.05923,0.29207,1,0.33167,0.12852,2.63809,10.5664,0.79022,3.21491,2.79646,0.0008713,0.0008713,0.0008713
28,19.5534,0.9998,2.61558,0.74603,0.84106,1.10197,0.43938,0.87877,0.4975,0.06894,0.12876,1,0.14214,0.07107,1.59792,9.54159,0.77527,3.40545,1.91522,0.00086635,0.00086635,0.00086635
29,20.1279,1.04835,3.67482,0.85548,0.93546,1.08846,0.43938,0.87877,0.4975,0.06894,0.12876,1,0.14214,0.07107,1.59792,9.54159,0.77527,3.40545,1.91522,0.0008614,0.0008614,0.0008614
