epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2156,1.54397,4.70017,1.35888,0.00254,0.4028,0.06451,0.04147,1.11995,4.06176,1.0399,0.00032,0.00032,0.00032
2,17.6147,1.36607,3.40632,1.20377,0.87834,0.08322,0.1435,0.10171,1.26539,3.33228,1.10063,0.000643565,0.000643565,0.000643565
3,25.5117,1.37779,3.03878,1.19441,0.60217,0.10141,0.14587,0.07756,1.41583,3.10891,1.2184,0.000960596,0.000960596,0.000960596
4,33.5435,1.32991,2.83081,1.16571,0.40839,0.33038,0.22006,0.1338,1.32575,2.42964,1.16833,0.0009703,0.0009703,0.0009703
5,41.2384,1.34236,2.70957,1.18844,0.48296,0.32083,0.28595,0.17905,1.29344,2.2839,1.17898,0.0009604,0.0009604,0.0009604
6,49.4893,1.27356,2.46299,1.18393,0.53448,0.4267,0.34949,0.22668,1.15093,1.89481,1.13034,0.0009505,0.0009505,0.0009505
7,57.3194,1.28518,2.36646,1.18164,0.46343,0.46818,0.35671,0.23923,1.22465,1.84178,1.13519,0.0009406,0.0009406,0.0009406
8,65.316,1.28928,2.15421,1.17108,0.46582,0.46456,0.35469,0.23076,1.20478,1.74875,1.1256,0.0009307,0.0009307,0.0009307
9,72.9484,1.22627,1.99189,1.1275,0.48979,0.31341,0.36717,0.24165,1.19822,1.86802,1.10358,0.0009208,0.0009208,0.0009208
10,81.0615,1.22354,1.99212,1.14342,0.51826,0.37198,0.38463,0.26401,1.10748,1.98538,1.08245,0.0009109,0.0009109,0.0009109
11,88.8243,1.15499,1.80719,1.09825,0.56469,0.42953,0.38126,0.25262,1.21043,1.63753,1.11798,0.000901,0.000901,0.000901
12,95.7507,1.18158,1.87744,1.12442,0.57993,0.45084,0.42914,0.3021,1.10365,1.6538,1.0683,0.0008911,0.0008911,0.0008911
13,101.197,1.14516,1.75746,1.10104,0.65733,0.46061,0.42926,0.2878,1.19514,1.707,1.12373,0.0008812,0.0008812,0.0008812
14,108.346,1.08882,1.60769,1.07802,0.61608,0.43681,0.42466,0.29238,1.04662,1.63553,1.02985,0.0008713,0.0008713,0.0008713
15,116.006,1.12502,1.61717,1.095,0.673,0.44952,0.45514,0.31625,1.07352,1.52372,1.03836,0.0008614,0.0008614,0.0008614
16,124.407,1.08078,1.5575,1.08148,0.56347,0.50302,0.45732,0.30134,1.12342,1.55776,1.082,0.0008515,0.0008515,0.0008515
17,131.788,1.10184,1.49589,1.07982,0.66637,0.50081,0.50734,0.34899,1.03227,1.46378,1.04544,0.0008416,0.0008416,0.0008416
18,139.954,1.07636,1.40515,1.0768,0.64454,0.56541,0.5185,0.3736,0.99777,1.53504,1.02025,0.0008317,0.0008317,0.0008317
19,147.875,1.05077,1.41381,1.05146,0.54131,0.53945,0.45365,0.31747,1.07557,1.50998,1.04905,0.0008218,0.0008218,0.0008218
20,155.799,1.0463,1.43372,1.06684,0.65636,0.55505,0.51314,0.36322,1.05113,1.41274,1.03257,0.0008119,0.0008119,0.0008119
21,163.49,1.07938,1.38295,1.06361,0.66805,0.57154,0.53055,0.37268,1.02183,1.47217,1.02868,0.000802,0.000802,0.000802
22,171.652,1.04013,1.32198,1.03112,0.61885,0.58706,0.52539,0.3725,1.00586,1.37555,1.02143,0.0007921,0.0007921,0.0007921
23,179.608,1.05132,1.28264,1.04971,0.67404,0.55965,0.55343,0.39515,0.99344,1.34968,1.00711,0.0007822,0.0007822,0.0007822
24,185.689,1.01623,1.23286,1.02741,0.66188,0.54979,0.50452,0.35468,0.97112,1.35066,0.99717,0.0007723,0.0007723,0.0007723
25,191.504,1.01737,1.20036,1.04422,0.58923,0.5244,0.48628,0.35484,1.01113,1.46212,1.02768,0.0007624,0.0007624,0.0007624
26,199.126,0.98458,1.18261,1.01959,0.61831,0.56648,0.50642,0.37763,0.99668,1.34898,1.00128,0.0007525,0.0007525,0.0007525
27,206.943,0.98071,1.16391,1.02414,0.71074,0.58249,0.55415,0.41003,1.01012,1.35079,1.02242,0.0007426,0.0007426,0.0007426
28,214.749,1.00475,1.1824,1.04015,0.7363,0.47208,0.515,0.37897,1.03111,1.51155,1.03653,0.0007327,0.0007327,0.0007327
29,222.806,0.97879,1.15688,1.0173,0.59818,0.59138,0.52139,0.36428,1.10282,1.40938,1.06838,0.0007228,0.0007228,0.0007228
30,230.688,0.94296,1.11105,1.00383,0.69893,0.60829,0.5797,0.43536,0.97858,1.29804,1.01022,0.0007129,0.0007129,0.0007129
31,238.849,0.93839,1.06713,1.00118,0.71023,0.55196,0.56093,0.41906,0.95754,1.38857,1.00281,0.000703,0.000703,0.000703
32,246.706,0.93,1.03205,0.97616,0.66821,0.58546,0.58945,0.43106,0.99644,1.33914,1.00782,0.0006931,0.0006931,0.0006931
33,254.654,0.91721,1.00976,0.99521,0.6995,0.56482,0.59204,0.4409,0.93634,1.29823,0.97705,0.0006832,0.0006832,0.0006832
34,262.692,0.9059,0.98983,0.99701,0.65099,0.60407,0.59609,0.45221,0.91984,1.30183,0.9803,0.0006733,0.0006733,0.0006733
35,270.586,0.91652,0.99423,0.98962,0.65525,0.56479,0.57151,0.43386,0.95837,1.36719,1.00942,0.0006634,0.0006634,0.0006634
36,276.096,0.92603,0.99805,0.99641,0.58258,0.57952,0.51163,0.38589,0.98005,1.38993,1.0166,0.0006535,0.0006535,0.0006535
37,281.707,0.88304,0.94663,0.99012,0.73986,0.58373,0.59887,0.45654,0.96922,1.31267,1.00177,0.0006436,0.0006436,0.0006436
38,289.914,0.92561,0.9849,0.99488,0.69496,0.53454,0.5867,0.43738,0.99123,1.33119,1.01069,0.0006337,0.0006337,0.0006337
39,297.7,0.89716,0.9865,0.98998,0.68455,0.59278,0.59718,0.4548,0.93081,1.30036,0.98148,0.0006238,0.0006238,0.0006238
40,305.486,0.88544,0.89805,0.9821,0.68282,0.60722,0.57233,0.43495,0.91407,1.25602,0.97859,0.0006139,0.0006139,0.0006139
41,313.298,0.85482,0.87575,0.97698,0.73321,0.53952,0.60395,0.45031,0.90586,1.25579,0.9701,0.000604,0.000604,0.000604
42,321.61,0.87627,0.91055,0.9802,0.65717,0.60854,0.58048,0.44785,0.9092,1.27314,0.98776,0.0005941,0.0005941,0.0005941
43,329.703,0.87097,0.89138,0.98467,0.71933,0.61121,0.61795,0.47842,0.91037,1.29073,0.98957,0.0005842,0.0005842,0.0005842
44,337.677,0.83173,0.87425,0.96488,0.70114,0.57129,0.55978,0.43819,0.87503,1.29606,0.96707,0.0005743,0.0005743,0.0005743
45,345.564,0.84341,0.85491,0.97102,0.66821,0.5608,0.53557,0.40723,0.90137,1.34934,0.97306,0.0005644,0.0005644,0.0005644
46,353.37,0.83421,0.8703,0.95887,0.73716,0.56077,0.57715,0.44079,0.92511,1.34271,0.98577,0.0005545,0.0005545,0.0005545
47,360.841,0.84049,0.8549,0.97543,0.68737,0.57885,0.56894,0.43903,0.90181,1.31884,0.98046,0.0005446,0.0005446,0.0005446
48,367.153,0.82432,0.82988,0.95832,0.39257,0.61621,0.5119,0.38935,0.94064,1.35894,0.99908,0.0005347,0.0005347,0.0005347
49,373.71,0.85609,0.82258,0.96344,0.51327,0.58764,0.55258,0.43522,0.92642,1.36535,0.98266,0.0005248,0.0005248,0.0005248
50,381.72,0.8349,0.8553,0.96018,0.48559,0.60366,0.54318,0.41159,0.92636,1.35018,1.00462,0.0005149,0.0005149,0.0005149
51,389.608,0.80679,0.81922,0.95997,0.65569,0.62466,0.55606,0.43003,0.89132,1.27263,0.98984,0.000505,0.000505,0.000505
52,397.52,0.78386,0.79715,0.93748,0.73726,0.58269,0.58172,0.45317,0.90776,1.2883,0.99206,0.0004951,0.0004951,0.0004951
53,405.32,0.79141,0.76035,0.95325,0.71079,0.56576,0.55289,0.42523,0.93622,1.34455,0.99666,0.0004852,0.0004852,0.0004852
54,413.189,0.80702,0.7865,0.95338,0.7282,0.55956,0.604,0.4798,0.91917,1.36181,0.98568,0.0004753,0.0004753,0.0004753
55,421.374,0.80796,0.76271,0.95514,0.71124,0.56531,0.62172,0.49516,0.8552,1.33908,0.96309,0.0004654,0.0004654,0.0004654
