epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.1436,1.5553,4.85219,1.36675,0.00419,0.54674,0.07844,0.04922,1.19586,4.14503,1.05792,0.00031,0.00031,0.00031
2,13.4038,1.45328,3.4415,1.21875,0.88477,0.07354,0.16565,0.10319,1.28226,3.28388,1.09823,0.000623763,0.000623763,0.000623763
3,17.8927,1.40131,3.17289,1.27123,0.68587,0.17201,0.18061,0.11087,1.36669,2.92681,1.23494,0.00093119,0.00093119,0.00093119
4,22.0524,1.37647,2.83816,1.19692,0.39188,0.34425,0.21152,0.11918,1.39454,3.34774,1.24475,0.0009703,0.0009703,0.0009703
5,27.0392,1.35264,2.66537,1.18176,0.48539,0.34252,0.28126,0.18023,1.29839,2.26428,1.19798,0.0009604,0.0009604,0.0009604
6,31.6093,1.33154,2.51856,1.18481,0.45998,0.38853,0.30583,0.19559,1.30899,2.27423,1.23561,0.0009505,0.0009505,0.0009505
7,36.6096,1.29167,2.38117,1.16603,0.50964,0.4439,0.34075,0.19959,1.32736,1.84156,1.19763,0.0009406,0.0009406,0.0009406
8,41.6369,1.25521,2.26474,1.17032,0.60081,0.41895,0.39113,0.26649,1.16228,1.85289,1.10416,0.0009307,0.0009307,0.0009307
9,46.3582,1.23579,2.0805,1.14384,0.63613,0.4035,0.42084,0.28177,1.15614,1.64795,1.08473,0.0009208,0.0009208,0.0009208
10,50.3629,1.22319,1.98234,1.11401,0.56991,0.57116,0.44228,0.29857,1.10642,1.51583,1.06567,0.0009109,0.0009109,0.0009109
11,56.9874,1.18777,1.91728,1.11473,0.69637,0.48961,0.50737,0.35419,1.11379,1.43162,1.08072,0.000901,0.000901,0.000901
12,62.9085,1.14988,1.83643,1.0905,0.61556,0.47437,0.47652,0.34119,1.08568,1.59845,1.06783,0.0008911,0.0008911,0.0008911
13,67.637,1.12885,1.77053,1.07892,0.63601,0.49871,0.47098,0.32507,1.12913,1.51305,1.07383,0.0008812,0.0008812,0.0008812
