epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.02764,4.79014,16.2286,3.31768,0,0,0,0,3.54722,17.2898,1.62805,0.09901,1e-05,1e-05
2,3.5186,4.52089,9.26613,3.15929,0,0,0,0,3.54485,17.652,1.63093,0.0970299,2.9901e-05,2.9901e-05
3,3.92432,4.99836,16.1992,3.26259,0,0,0,0,3.54591,17.8052,1.63599,0.0950497,4.967e-05,4.967e-05
4,4.39268,4.6447,15.7892,2.8865,0,0,0,0,5.82829,4.65641,4.33935,0.0930693,6.9307e-05,6.9307e-05
5,4.97623,3.94617,9.41422,2.41434,0,0,0,0,6.01774,4.73941,5.12049,0.0910888,8.8812e-05,8.8812e-05
6,5.52507,4.09649,8.9977,2.53507,0,0,0,0,5.86154,4.9069,5.12096,0.0891082,0.000108185,0.000108185
7,6.06221,3.78469,6.81094,2.24266,0,0,0,0,5.12526,4.59766,4.15159,0.0871274,0.000127426,0.000127426
8,6.58613,4.19635,7.18951,2.4125,0,0,0,0,4.9255,4.44922,4.0114,0.0851465,0.000146535,0.000146535
9,7.11569,4.1866,6.06039,2.32013,0,0,0,0,4.81831,4.5,3.71905,0.0831655,0.000165512,0.000165512
10,7.63024,3.93604,5.67521,2.17659,0,0,0,0,4.74053,4.66406,3.35943,0.0811844,0.000184357,0.000184357
11,8.14945,3.50877,5.65033,2.01037,0,0,0,0,5.09703,5.32724,3.29092,0.0792031,0.00020307,0.00020307
12,8.66278,3.37158,5.74366,1.88251,0,0,0,0,4.82832,5.40271,2.88885,0.0772217,0.000221651,0.000221651
13,9.16871,3.32248,5.18618,1.73483,0,0,0,0,4.49444,5.45374,2.56993,0.0752401,0.0002401,0.0002401
14,9.70712,3.26345,4.96604,1.87375,0,0,0,0,4.28379,5.48894,2.38609,0.0732584,0.000258417,0.000258417
15,10.3352,3.46455,5.72407,2.1337,0,0,0,0,4.06395,5.51939,2.22967,0.0712766,0.000276602,0.000276602
16,10.8677,3.48637,4.72768,1.85315,0,0,0,0,3.89968,5.54485,2.12188,0.0692947,0.000294655,0.000294655
17,11.3902,3.03029,4.68962,1.82652,0,0,0,0,3.48793,5.57182,1.86855,0.0673126,0.000312576,0.000312576
18,11.9271,3.25891,4.72687,1.86667,0,0,0,0,2.98098,5.64698,1.60013,0.0653304,0.000330365,0.000330365
19,12.4582,3.19673,4.41505,1.80718,0,0,0,0,2.86089,5.72973,1.58201,0.063348,0.000348022,0.000348022
20,12.9742,3.13227,4.49542,1.67746,0,0,0,0,3.15378,5.77376,1.65731,0.0613655,0.000365547,0.000365547
21,13.5283,3.33799,4.65569,1.84138,0,0,0,0,3.26804,5.78982,1.68202,0.0593829,0.00038294,0.00038294
22,14.1764,3.10452,4.52813,1.59033,0,0,0,0,3.21097,5.80172,1.62327,0.0574002,0.000400201,0.000400201
23,14.7318,3.15772,4.1902,1.78013,0,0,0,0,3.24063,5.81494,1.5977,0.0554173,0.00041733,0.00041733
24,15.2788,2.85834,3.64474,1.73795,0,0,0,0,3.39523,5.87594,1.66067,0.0534343,0.000434327,0.000434327
25,15.8053,3.11325,3.9348,1.68723,0,0,0,0,3.4137,6.00316,1.71465,0.0514512,0.000451192,0.000451192
26,16.3214,2.79823,4.15001,1.63963,0,0,0,0,3.5654,6.13641,1.91012,0.0494679,0.000467925,0.000467925
27,16.8384,3.02567,3.60325,1.77711,0,0,0,0,3.81225,6.17236,2.07742,0.0474845,0.000484526,0.000484526
28,17.3398,3.26078,3.59178,1.61363,0,0,0,0,3.81225,6.17236,2.07742,0.045501,0.000500995,0.000500995
29,18.042,2.94539,3.80289,1.59287,0,0,0,0,4.07599,6.17425,2.35429,0.0435173,0.000517332,0.000517332
30,18.7456,2.80962,3.28288,1.50276,0,0,0,0,3.79519,6.22164,2.04658,0.0415335,0.000533537,0.000533537
31,19.3112,3.13834,3.51908,1.61186,0,0,0,0,3.79519,6.22164,2.04658,0.0395496,0.00054961,0.00054961
32,19.8477,3.07936,3.81442,1.68315,0,0,0,0,3.02092,6.13781,1.60825,0.0375656,0.000565551,0.000565551
33,20.3845,2.79537,2.97556,1.51964,0,0,0,0,2.94938,6.14041,1.57764,0.0355814,0.00058136,0.00058136
34,20.8879,2.54125,3.10507,1.37962,0,0,0,0,2.94938,6.14041,1.57764,0.033597,0.000597037,0.000597037
35,21.4015,2.64032,3.01768,1.5084,0,0,0,0,3.20275,6.11427,1.63187,0.0316126,0.000612582,0.000612582
36,21.9359,2.28406,3.25047,1.3863,0,0,0,0,3.10299,6.13366,1.7404,0.029628,0.000627995,0.000627995
37,22.4673,3.09019,3.65413,1.5983,0,0,0,0,3.10299,6.13366,1.7404,0.0276433,0.000643276,0.000643276
38,23.0071,2.71967,3.17401,1.7321,0,0,0,0,2.9281,6.11966,1.71452,0.0256584,0.000658425,0.000658425
39,23.5368,3.00493,3.38375,1.54598,0,0,0,0,3.50002,6.11573,1.95275,0.0236734,0.000673442,0.000673442
40,24.0511,3.20749,3.30004,1.68428,0,0,0,0,3.50002,6.11573,1.95275,0.0216883,0.000688327,0.000688327
41,24.5758,2.73353,2.93758,1.54487,0,0,0,0,3.57807,6.1102,1.97362,0.0197031,0.00070308,0.00070308
42,25.1709,2.72107,3.28131,1.62758,0,0,0,0,3.42282,6.156,1.87753,0.0177177,0.000717701,0.000717701
43,25.68,2.71465,3.41077,1.5299,0,0,0,0,3.42282,6.156,1.87753,0.0157322,0.00073219,0.00073219
44,26.2247,2.95372,3.73294,1.62317,0,0,0,0,2.61534,6.20304,1.44227,0.0137465,0.000746547,0.000746547
45,26.7396,2.36441,3.33166,1.50358,0,0,0,0,2.61534,6.20304,1.44227,0.0117608,0.000760772,0.000760772
46,27.301,2.57934,2.82015,1.4889,0,0,0,0,2.34006,5.88281,1.17292,0.00977486,0.000774865,0.000774865
47,27.8199,2.43972,3.33483,1.42455,0,0,0,0,2.34006,5.88281,1.17292,0.00778883,0.000788826,0.000788826
48,28.3655,2.45845,2.57447,1.55367,0,0,0,0,2.14111,5.19922,0.99693,0.00580266,0.000802655,0.000802655
49,28.8908,2.23214,2.56633,1.372,0,0,0,0,2.14111,5.19922,0.99693,0.00381635,0.000816352,0.000816352
50,29.4238,2.7685,3.07703,1.56334,0,0,0,0,1.99484,4.33594,0.8399,0.00182992,0.000829917,0.000829917
51,29.9699,2.43821,2.61897,1.44788,0,0,0,0,1.99484,4.33594,0.8399,0.000835,0.000835,0.000835
52,30.5086,2.66119,3.02462,1.46697,0,0,0,0,2.34006,4.08984,0.98916,0.0008317,0.0008317,0.0008317
53,31.0178,2.82074,3.31208,1.54948,0,0,0,0,2.34006,4.08984,0.98916,0.0008284,0.0008284,0.0008284
54,31.554,2.51425,3.13653,1.50207,0,0,0,0,2.75618,4.625,1.25413,0.0008251,0.0008251,0.0008251
55,32.0834,2.46803,2.77412,1.54537,0,0,0,0,2.75618,4.625,1.25413,0.0008218,0.0008218,0.0008218
56,32.6322,2.54755,2.67386,1.49271,0,0,0,0,2.3849,3.94141,1.02309,0.0008185,0.0008185,0.0008185
57,33.1465,2.72737,2.76037,1.5875,0,0,0,0,2.3849,3.94141,1.02309,0.0008152,0.0008152,0.0008152
58,33.6614,2.51409,2.62054,1.42943,0,0,0,0,2.13254,3.75,0.85149,0.0008119,0.0008119,0.0008119
59,34.1794,2.18684,2.31346,1.31275,0,0,0,0,2.13254,3.75,0.85149,0.0008086,0.0008086,0.0008086
60,34.7234,2.40074,2.24507,1.43954,0,0,0,0,2.05924,4.01953,0.82089,0.0008053,0.0008053,0.0008053
61,35.2481,2.29016,2.51266,1.34772,0,0,0,0,2.05924,4.01953,0.82089,0.000802,0.000802,0.000802
62,35.8756,2.97265,3.0674,1.34354,0,0,0,0,2.02467,4.86328,0.88377,0.0007987,0.0007987,0.0007987
63,36.5988,2.14046,1.94289,1.35299,0,0,0,0,2.02467,4.86328,0.88377,0.0007954,0.0007954,0.0007954
64,37.3742,2.51952,2.73336,1.45981,0,0,0,0,2.27915,6.18359,1.03559,0.0007921,0.0007921,0.0007921
65,37.949,2.49133,2.30511,1.45904,0,0,0,0,2.27915,6.18359,1.03559,0.0007888,0.0007888,0.0007888
66,38.4863,2.51939,2.42512,1.46254,0,0,0,0,3.20772,7.94712,1.41644,0.0007855,0.0007855,0.0007855
67,38.9877,2.092,1.93484,1.27122,0,0,0,0,3.20772,7.94712,1.41644,0.0007822,0.0007822,0.0007822
68,39.522,2.60417,2.70311,1.41683,0,0,0,0,3.29091,7.1636,1.39498,0.0007789,0.0007789,0.0007789
69,40.151,2.32909,2.16561,1.3226,0,0,0,0,3.29091,7.1636,1.39498,0.0007756,0.0007756,0.0007756
70,40.6977,1.96683,1.83419,1.23472,0,0,0,0,3.66881,6.88518,1.41352,0.0007723,0.0007723,0.0007723
71,41.2264,2.26188,2.15654,1.24923,0,0,0,0,3.66881,6.88518,1.41352,0.000769,0.000769,0.000769
72,41.7648,2.3858,2.18809,1.42329,0,0,0,0,3.92122,7.00111,1.44778,0.0007657,0.0007657,0.0007657
73,42.2915,2.45531,2.24175,1.33999,0,0,0,0,3.92122,7.00111,1.44778,0.0007624,0.0007624,0.0007624
74,42.8353,2.07166,1.91894,1.33951,0,0,0,0,4.13037,7.02488,1.50412,0.0007591,0.0007591,0.0007591
75,43.3559,2.57668,2.29047,1.42612,0,0,0,0,4.13037,7.02488,1.50412,0.0007558,0.0007558,0.0007558
76,43.8965,2.02884,1.99208,1.25029,0,0,0,0,4.13264,6.92353,1.52962,0.0007525,0.0007525,0.0007525
77,44.4423,2.33875,2.26664,1.34877,0,0,0,0,4.13264,6.92353,1.52962,0.0007492,0.0007492,0.0007492
78,44.9862,2.5809,2.7123,1.4953,0,0,0,0,4.04564,6.94626,1.54802,0.0007459,0.0007459,0.0007459
79,45.5135,1.95613,1.97247,1.25342,0,0,0,0,4.04564,6.94626,1.54802,0.0007426,0.0007426,0.0007426
80,46.0784,2.46112,2.60377,1.44082,0,0,0,0,4.08227,7.22194,1.55862,0.0007393,0.0007393,0.0007393
81,46.6027,2.08734,2.09861,1.25108,0,0,0,0,4.08227,7.22194,1.55862,0.000736,0.000736,0.000736
82,47.2231,2.36942,2.55421,1.39011,0,0,0,0,4.04318,7.72341,1.54306,0.0007327,0.0007327,0.0007327
83,47.7448,2.03237,1.67361,1.33762,0,0,0,0,4.04318,7.72341,1.54306,0.0007294,0.0007294,0.0007294
84,48.3011,2.08886,1.9839,1.25798,0,0,0,0,3.99986,8.79543,1.54581,0.0007261,0.0007261,0.0007261
85,48.8976,2.19824,2.06726,1.34935,0,0,0,0,3.99986,8.79543,1.54581,0.0007228,0.0007228,0.0007228
86,49.4674,2.34454,2.21341,1.5329,0,0,0,0,3.94093,9.87798,1.49505,0.0007195,0.0007195,0.0007195
87,50.0044,2.46393,2.21331,1.33754,0,0,0,0,3.94093,9.87798,1.49505,0.0007162,0.0007162,0.0007162
88,50.5414,2.29974,2.14198,1.4496,0,0,0,0,3.7665,12.3113,1.4541,0.0007129,0.0007129,0.0007129
89,51.07,2.33431,1.90411,1.2931,0,0,0,0,3.7665,12.3113,1.4541,0.0007096,0.0007096,0.0007096
90,51.585,2.45834,2.46718,1.3895,0,0,0,0,3.94281,11.7827,1.56614,0.0007063,0.0007063,0.0007063
91,52.1042,2.00454,1.91101,1.10373,0,0,0,0,3.94281,11.7827,1.56614,0.000703,0.000703,0.000703
92,52.6551,2.03551,1.65763,1.23802,0,0,0,0,4.10293,10.4815,1.67156,0.0006997,0.0006997,0.0006997
93,53.1765,2.25321,2.16476,1.21514,0,0,0,0,4.10293,10.4815,1.67156,0.0006964,0.0006964,0.0006964
94,53.7076,2.00448,2.54128,1.1928,0,0,0,0,4.21119,9.64573,1.73941,0.0006931,0.0006931,0.0006931
95,54.2199,2.15062,1.81999,1.28274,0,0,0,0,4.21119,9.64573,1.73941,0.0006898,0.0006898,0.0006898
96,54.947,2.16998,1.9116,1.30739,0,0,0,0,4.19877,9.71769,1.7977,0.0006865,0.0006865,0.0006865
97,55.6427,2.29178,1.78146,1.51944,0,0,0,0,4.19877,9.71769,1.7977,0.0006832,0.0006832,0.0006832
98,56.293,2.36543,2.25646,1.24677,0,0,0,0,4.16409,10.1098,1.85382,0.0006799,0.0006799,0.0006799
99,56.8267,1.99427,2.10504,1.25726,0,0,0,0,4.16409,10.1098,1.85382,0.0006766,0.0006766,0.0006766
100,57.3724,1.8169,1.49218,1.28582,0,0,0,0,4.16614,11.4934,1.90707,0.0006733,0.0006733,0.0006733
101,57.8931,1.80244,1.59747,1.18307,0,0,0,0,4.16614,11.4934,1.90707,0.00067,0.00067,0.00067
102,58.5121,1.81366,1.68266,1.12759,0,0,0,0,4.2286,11.6372,1.96217,0.0006667,0.0006667,0.0006667
103,59.0507,2.0365,1.78866,1.24916,0,0,0,0,4.2286,11.6372,1.96217,0.0006634,0.0006634,0.0006634
104,59.6113,1.77116,1.54972,1.17764,0,0,0,0,4.27576,9.72638,1.94311,0.0006601,0.0006601,0.0006601
105,60.1259,2.30627,1.95302,1.4362,0,0,0,0,4.27576,9.72638,1.94311,0.0006568,0.0006568,0.0006568
106,60.6672,2.07219,1.62507,1.30846,0,0,0,0,4.14869,9.00006,1.86822,0.0006535,0.0006535,0.0006535
107,61.1657,2.05364,1.79871,1.38786,0,0,0,0,4.14869,9.00006,1.86822,0.0006502,0.0006502,0.0006502
108,61.6896,2.24597,2.2174,1.30966,0,0,0,0,3.93761,8.02868,1.84056,0.0006469,0.0006469,0.0006469
109,62.1991,2.08831,1.70057,1.23648,0,0,0,0,3.93761,8.02868,1.84056,0.0006436,0.0006436,0.0006436
110,62.731,1.67295,1.56667,1.1259,0,0,0,0,3.71621,7.41513,1.77505,0.0006403,0.0006403,0.0006403
111,63.2674,2.18426,1.84979,1.10533,0,0,0,0,3.71621,7.41513,1.77505,0.000637,0.000637,0.000637
112,63.8356,1.90324,2.12742,1.15515,0,0,0,0,3.70573,7.02883,1.75981,0.0006337,0.0006337,0.0006337
113,64.3801,1.67143,1.56044,1.29862,0,0,0,0,3.70573,7.02883,1.75981,0.0006304,0.0006304,0.0006304
114,64.9303,1.89464,1.89675,1.11166,0,0,0,0,3.82861,6.93316,1.81467,0.0006271,0.0006271,0.0006271
115,65.446,2.15614,1.86887,1.43805,0,0,0,0,3.82861,6.93316,1.81467,0.0006238,0.0006238,0.0006238
116,65.9802,1.7581,1.48039,1.17428,0,0,0,0,3.88791,6.9237,1.87205,0.0006205,0.0006205,0.0006205
117,66.4889,1.90173,1.59478,1.25357,0,0,0,0,3.88791,6.9237,1.87205,0.0006172,0.0006172,0.0006172
118,67.0328,1.84476,1.63017,1.36119,0,0,0,0,3.88233,7.31086,1.90187,0.0006139,0.0006139,0.0006139
119,67.5396,1.91006,1.76468,1.25032,0,0,0,0,3.88233,7.31086,1.90187,0.0006106,0.0006106,0.0006106
120,68.0761,1.84752,1.68884,1.26203,0,0,0,0,3.72199,7.91959,1.89429,0.0006073,0.0006073,0.0006073
121,68.6057,1.84414,1.58931,1.24377,0,0,0,0,3.72199,7.91959,1.89429,0.000604,0.000604,0.000604
122,69.2388,1.76011,1.43458,1.12558,0,0,0,0,3.65934,8.22968,1.89521,0.0006007,0.0006007,0.0006007
123,69.7631,2.1611,2.44189,1.33076,0,0,0,0,3.65934,8.22968,1.89521,0.0005974,0.0005974,0.0005974
124,70.4353,1.6835,1.38719,1.13447,0,0,0,0,2.90828,7.53906,1.66388,0.0005941,0.0005941,0.0005941
125,70.9578,1.71569,1.4024,1.10628,0,0,0,0,2.90828,7.53906,1.66388,0.0005908,0.0005908,0.0005908
126,71.4935,1.95938,1.71867,1.14062,0,0,0,0,2.81877,7.10938,1.65286,0.0005875,0.0005875,0.0005875
127,72.0265,1.66942,1.36939,1.11416,0,0,0,0,2.81877,7.10938,1.65286,0.0005842,0.0005842,0.0005842
128,72.56,2.16495,1.78595,1.27906,0,0,0,0,3.11714,7.14453,1.7628,0.0005809,0.0005809,0.0005809
129,73.2745,1.97647,1.60579,1.2684,0,0,0,0,3.11714,7.14453,1.7628,0.0005776,0.0005776,0.0005776
130,74.0268,1.85026,1.43637,1.13146,0,0,0,0,3.40331,7.00391,1.86654,0.0005743,0.0005743,0.0005743
131,74.7084,1.52774,1.26417,1.11742,0,0,0,0,3.40331,7.00391,1.86654,0.000571,0.000571,0.000571
132,75.2603,2.00767,1.75708,1.21884,0,0,0,0,3.90865,7.22656,2.05785,0.0005677,0.0005677,0.0005677
133,75.7848,1.68433,1.42485,1.17391,0,0,0,0,3.90865,7.22656,2.05785,0.0005644,0.0005644,0.0005644
134,76.3529,1.68438,1.28703,1.08862,0,0,0,0,4.21005,7.40234,2.17478,0.0005611,0.0005611,0.0005611
135,76.9095,1.80514,1.42112,1.17726,0,0,0,0,4.21005,7.40234,2.17478,0.0005578,0.0005578,0.0005578
136,77.4721,2.39769,2.14844,1.44902,0,0,0,0,4.19531,7.60938,2.14598,0.0005545,0.0005545,0.0005545
137,78.002,2.24028,1.72882,1.19147,0,0,0,0,4.19531,7.60938,2.14598,0.0005512,0.0005512,0.0005512
138,78.5659,1.73011,1.35601,1.11677,0,0,0,0,4.03129,7.5625,2.04695,0.0005479,0.0005479,0.0005479
139,79.088,1.83207,1.35891,1.22446,0,0,0,0,4.03129,7.5625,2.04695,0.0005446,0.0005446,0.0005446
140,79.6488,1.86281,1.4978,1.22208,0,0,0,0,4.1464,7.72656,2.06281,0.0005413,0.0005413,0.0005413
141,80.1685,1.93064,1.3218,1.233,0,0,0,0,4.1464,7.72656,2.06281,0.000538,0.000538,0.000538
142,80.7924,1.96017,1.42724,1.2874,0,0,0,0,4.17445,7.77777,2.10063,0.0005347,0.0005347,0.0005347
143,81.308,1.69222,1.34558,1.13253,0,0,0,0,4.17445,7.77777,2.10063,0.0005314,0.0005314,0.0005314
144,81.8679,1.86955,1.45083,1.22728,0,0,0,0,4.06255,7.52832,2.07222,0.0005281,0.0005281,0.0005281
145,82.3888,1.90953,1.83803,1.20693,0,0,0,0,4.06255,7.52832,2.07222,0.0005248,0.0005248,0.0005248
146,82.9231,1.7494,1.37024,1.17544,0,0,0,0,3.96671,7.16847,2.03558,0.0005215,0.0005215,0.0005215
147,83.4359,1.42334,0.99861,1.07311,0,0,0,0,3.96671,7.16847,2.03558,0.0005182,0.0005182,0.0005182
148,83.9892,1.87739,1.67843,1.25023,0,0,0,0,3.8481,6.87408,2.00224,0.0005149,0.0005149,0.0005149
149,84.4931,1.69438,1.58006,1.18804,0,0,0,0,3.8481,6.87408,2.00224,0.0005116,0.0005116,0.0005116
150,85.0465,1.66594,1.34933,1.15909,0,0,0,0,3.81826,6.75469,1.99129,0.0005083,0.0005083,0.0005083
151,85.5687,2.17138,1.86032,1.24293,0,0,0,0,3.81826,6.75469,1.99129,0.000505,0.000505,0.000505
152,86.1052,1.7435,1.47233,1.16323,0,0,0,0,3.80613,6.7259,1.99541,0.0005017,0.0005017,0.0005017
153,86.6181,1.76483,1.34375,1.04491,0,0,0,0,3.80613,6.7259,1.99541,0.0004984,0.0004984,0.0004984
154,87.1568,1.9476,1.50116,1.20205,0,0,0,0,3.8436,6.71893,1.97993,0.0004951,0.0004951,0.0004951
155,87.6737,1.5362,1.15839,1.10941,0,0,0,0,3.8436,6.71893,1.97993,0.0004918,0.0004918,0.0004918
156,88.2011,1.62915,1.21536,1.09942,0,0,0,0,3.8517,6.72347,1.96312,0.0004885,0.0004885,0.0004885
157,88.7196,1.88094,1.35217,1.15251,0,0,0,0,3.8517,6.72347,1.96312,0.0004852,0.0004852,0.0004852
158,89.2718,1.5323,1.47622,1.14408,0,0,0,0,3.83572,6.77995,1.96509,0.0004819,0.0004819,0.0004819
159,89.8067,1.77924,1.31881,1.13627,0,0,0,0,3.83572,6.77995,1.96509,0.0004786,0.0004786,0.0004786
160,90.3712,1.71356,1.14436,1.09876,0,0,0,0,3.78921,6.94235,2.00305,0.0004753,0.0004753,0.0004753
161,90.9059,1.68092,1.47412,1.1616,0,0,0,0,3.78921,6.94235,2.00305,0.000472,0.000472,0.000472
162,91.7978,1.76054,1.55982,1.18981,0,0,0,0,3.73001,7.09517,2.01705,0.0004687,0.0004687,0.0004687
163,92.5088,1.59336,1.34637,1.09263,0,0,0,0,3.73001,7.09517,2.01705,0.0004654,0.0004654,0.0004654
164,93.096,1.67288,1.44399,1.09989,0,0,0,0,3.84073,7.19511,2.06449,0.0004621,0.0004621,0.0004621
165,93.6199,1.82303,1.38684,1.12447,0,0,0,0,3.84073,7.19511,2.06449,0.0004588,0.0004588,0.0004588
166,94.1954,1.87291,1.4421,1.13927,0,0,0,0,3.97969,7.31201,2.07472,0.0004555,0.0004555,0.0004555
167,94.7594,1.55651,1.15399,0.96736,0,0,0,0,3.97969,7.31201,2.07472,0.0004522,0.0004522,0.0004522
168,95.3233,1.40305,1.20951,1.08122,0,0,0,0,3.97738,7.16389,2.00552,0.0004489,0.0004489,0.0004489
169,95.8556,1.86375,1.47821,1.15134,0,0,0,0,3.97738,7.16389,2.00552,0.0004456,0.0004456,0.0004456
170,96.38,1.56031,1.242,1.02178,0,0,0,0,3.97596,7.07358,1.96665,0.0004423,0.0004423,0.0004423
171,96.8845,1.89909,1.34511,1.1864,0,0,0,0,3.97596,7.07358,1.96665,0.000439,0.000439,0.000439
172,97.419,2.04111,1.4557,1.17044,0,0,0,0,4.09228,6.89119,1.9377,0.0004357,0.0004357,0.0004357
173,97.9521,1.71777,1.16776,1.08478,0,0,0,0,4.09228,6.89119,1.9377,0.0004324,0.0004324,0.0004324
174,98.5107,1.70098,1.19888,1.06464,0,0,0,0,4.00129,6.72862,1.8965,0.0004291,0.0004291,0.0004291
175,99.0301,1.53469,1.23925,1.05116,0,0,0,0,4.00129,6.72862,1.8965,0.0004258,0.0004258,0.0004258
176,99.5556,1.49072,1.22255,1.12743,0,0,0,0,4.01642,6.66855,1.85889,0.0004225,0.0004225,0.0004225
177,100.059,1.77046,1.42716,1.06541,0,0,0,0,4.01642,6.66855,1.85889,0.0004192,0.0004192,0.0004192
178,100.713,1.5621,1.30501,1.1499,0,0,0,0,4.14935,6.74277,1.87311,0.0004159,0.0004159,0.0004159
179,101.232,1.68724,1.38016,1.14372,0,0,0,0,4.14935,6.74277,1.87311,0.0004126,0.0004126,0.0004126
180,101.786,1.77321,1.38185,1.22846,0,0,0,0,4.24035,7.00772,1.87362,0.0004093,0.0004093,0.0004093
181,102.314,1.55972,1.21447,1.04381,0,0,0,0,4.24035,7.00772,1.87362,0.000406,0.000406,0.000406
182,102.95,1.52553,1.43805,1.12277,0,0,0,0,4.14204,7.11328,1.8027,0.0004027,0.0004027,0.0004027
183,103.479,1.4618,1.21049,1.00329,0,0,0,0,4.14204,7.11328,1.8027,0.0003994,0.0003994,0.0003994
184,104.034,1.55849,1.24491,1.06139,0,0,0,0,3.97093,6.72266,1.72158,0.0003961,0.0003961,0.0003961
185,104.561,1.46795,1.15056,1.06715,0,0,0,0,3.97093,6.72266,1.72158,0.0003928,0.0003928,0.0003928
186,105.111,1.39467,0.9772,1.02366,0,0,0,0,4.31573,7.00781,1.91068,0.0003895,0.0003895,0.0003895
187,105.64,1.55278,1.20214,1.09577,0,0,0,0,4.31573,7.00781,1.91068,0.0003862,0.0003862,0.0003862
188,106.185,1.55041,0.99593,1.06172,0,0,0,0,4.75748,7.51292,2.17419,0.0003829,0.0003829,0.0003829
189,106.727,1.32423,1.08322,0.98105,0,0,0,0,4.75748,7.51292,2.17419,0.0003796,0.0003796,0.0003796
190,107.284,1.28547,1.00767,1.01915,0,0,0,0,4.62693,7.28883,2.1847,0.0003763,0.0003763,0.0003763
191,107.806,1.97876,1.53625,1.20117,0,0,0,0,4.62693,7.28883,2.1847,0.000373,0.000373,0.000373
192,108.356,1.86888,1.44807,1.23294,0,0,0,0,4.32446,7.25647,2.13977,0.0003697,0.0003697,0.0003697
193,108.876,1.64061,1.08928,1.14441,0,0,0,0,4.32446,7.25647,2.13977,0.0003664,0.0003664,0.0003664
194,109.427,1.35787,1.00437,1.01182,0,0,0,0,3.8216,7.14106,2.09179,0.0003631,0.0003631,0.0003631
195,110.019,1.19518,0.93702,0.9352,0,0,0,0,3.8216,7.14106,2.09179,0.0003598,0.0003598,0.0003598
196,110.775,1.45156,1.19147,1.11058,0,0,0,0,3.82444,6.93234,2.05671,0.0003565,0.0003565,0.0003565
197,111.482,1.5429,1.12862,1.05974,0,0,0,0,3.82444,6.93234,2.05671,0.0003532,0.0003532,0.0003532
198,112.05,1.38071,1.05762,1.00831,0,0,0,0,3.80233,6.87296,1.99537,0.0003499,0.0003499,0.0003499
199,112.571,1.61162,1.13074,0.98065,0,0,0,0,3.80233,6.87296,1.99537,0.0003466,0.0003466,0.0003466
200,113.1,1.5574,1.26203,0.98161,0,0,0,0,3.9182,6.83016,1.91206,0.0003433,0.0003433,0.0003433
201,113.614,1.67945,1.45505,1.15417,0,0,0,0,3.9182,6.83016,1.91206,0.00034,0.00034,0.00034
202,114.242,1.45295,1.02857,1.06434,0,0,0,0,3.9439,6.93162,1.87326,0.0003367,0.0003367,0.0003367
203,114.769,1.75654,1.27205,1.08944,0,0,0,0,3.9439,6.93162,1.87326,0.0003334,0.0003334,0.0003334
204,115.307,1.69033,1.32017,1.09001,0,0,0,0,3.9232,7.01859,1.88016,0.0003301,0.0003301,0.0003301
205,115.865,1.60498,1.30865,1.08411,0,0,0,0,3.9232,7.01859,1.88016,0.0003268,0.0003268,0.0003268
206,116.442,1.49029,1.02652,0.99885,0,0,0,0,3.84029,7.17363,1.91406,0.0003235,0.0003235,0.0003235
