epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.80417,1.79506,4.25349,1.52138,0.0045,0.0625,0.0167,0.00636,2.06291,4.13086,1.75918,0.06832,0.00032,0.00032
2,11.2569,1.65549,2.93194,1.45087,0.07419,0.29189,0.11146,0.07683,1.55867,3.84402,1.29483,0.0356479,0.000647855,0.000647855
3,14.6356,1.62455,2.5021,1.45488,0.47278,0.10484,0.11602,0.06456,1.53348,3.17066,1.37939,0.00297353,0.000973532,0.000973532
4,19.0111,1.59485,2.42366,1.43415,0.49945,0.20126,0.18957,0.09856,1.53908,2.57441,1.31622,0.0009901,0.0009901,0.0009901
5,22.4053,1.55406,2.29708,1.35758,0.44065,0.34423,0.24878,0.15349,1.42842,2.30054,1.26234,0.0009868,0.0009868,0.0009868
6,25.8134,1.46161,2.12922,1.32143,0.34315,0.40924,0.23954,0.14339,1.39102,2.5934,1.26313,0.0009835,0.0009835,0.0009835
7,29.0779,1.45992,2.06735,1.35856,0.40188,0.41152,0.29534,0.17316,1.47574,2.15107,1.29151,0.0009802,0.0009802,0.0009802
8,32.6803,1.46849,2.03231,1.3509,0.50028,0.39081,0.35076,0.21993,1.33454,2.23696,1.22115,0.0009769,0.0009769,0.0009769
9,36.0625,1.45477,1.9964,1.34498,0.41153,0.43406,0.30608,0.18978,1.37111,1.98839,1.20627,0.0009736,0.0009736,0.0009736
10,39.4792,1.44518,1.94766,1.31953,0.47085,0.41554,0.33678,0.20147,1.39205,1.78395,1.27504,0.0009703,0.0009703,0.0009703
11,42.9914,1.42347,1.90685,1.32294,0.51382,0.48191,0.35863,0.24536,1.17813,1.67382,1.1427,0.000967,0.000967,0.000967
12,47.0917,1.38659,1.87875,1.27342,0.27052,0.42461,0.30846,0.19174,1.43242,1.85328,1.24233,0.0009637,0.0009637,0.0009637
13,52.3069,1.32869,1.80993,1.26664,0.40612,0.43592,0.31146,0.18228,1.52217,1.86062,1.25513,0.0009604,0.0009604,0.0009604
14,56.7162,1.34374,1.75157,1.25872,0.60198,0.42328,0.39738,0.23158,1.47634,1.87228,1.29374,0.0009571,0.0009571,0.0009571
15,60.9516,1.33381,1.71311,1.25965,0.54145,0.48328,0.37568,0.23493,1.42482,1.70839,1.24876,0.0009538,0.0009538,0.0009538
16,65.2524,1.3505,1.66207,1.26011,0.595,0.42719,0.40001,0.25176,1.33697,1.68487,1.17088,0.0009505,0.0009505,0.0009505
17,69.7289,1.35423,1.71,1.23986,0.73937,0.38029,0.45012,0.27923,1.22156,1.63177,1.1359,0.0009472,0.0009472,0.0009472
18,74.0332,1.32861,1.67106,1.24932,0.64117,0.44532,0.45623,0.29623,1.17135,1.53038,1.11464,0.0009439,0.0009439,0.0009439
19,78.3914,1.35578,1.65771,1.26409,0.65849,0.51138,0.49476,0.3137,1.29512,1.65746,1.15238,0.0009406,0.0009406,0.0009406
20,83.8703,1.33188,1.61141,1.25801,0.65222,0.43377,0.49752,0.31725,1.281,1.51898,1.15212,0.0009373,0.0009373,0.0009373
21,88.1745,1.32361,1.65122,1.23787,0.58991,0.55227,0.51212,0.33365,1.15593,1.50655,1.10951,0.000934,0.000934,0.000934
22,91.783,1.25043,1.48129,1.19485,0.67682,0.51422,0.47169,0.30033,1.26181,1.54843,1.14987,0.0009307,0.0009307,0.0009307
23,95.1248,1.27691,1.55138,1.2361,0.60238,0.41673,0.44965,0.2851,1.26403,1.70687,1.17624,0.0009274,0.0009274,0.0009274
24,98.4973,1.24531,1.48018,1.21532,0.61271,0.45765,0.44925,0.29728,1.17597,1.60431,1.12101,0.0009241,0.0009241,0.0009241
25,101.805,1.23913,1.45009,1.20335,0.69673,0.4801,0.48783,0.31092,1.1897,1.54588,1.11938,0.0009208,0.0009208,0.0009208
26,105.052,1.2756,1.43477,1.22834,0.66688,0.45223,0.49111,0.32044,1.16795,1.55991,1.12111,0.0009175,0.0009175,0.0009175
27,108.44,1.28068,1.43385,1.19848,0.62656,0.50515,0.47109,0.28874,1.32202,1.56341,1.16204,0.0009142,0.0009142,0.0009142
28,112.861,1.25287,1.40835,1.20639,0.62353,0.45426,0.4816,0.31747,1.20553,1.44089,1.11156,0.0009109,0.0009109,0.0009109
29,116.092,1.18381,1.31773,1.16377,0.62563,0.50249,0.48505,0.33027,1.15038,1.51389,1.0984,0.0009076,0.0009076,0.0009076
30,119.394,1.22802,1.42451,1.19693,0.65742,0.50386,0.50044,0.32577,1.17758,1.46075,1.11863,0.0009043,0.0009043,0.0009043
31,122.766,1.25292,1.44208,1.22149,0.6562,0.54882,0.51517,0.33721,1.18206,1.47425,1.12209,0.000901,0.000901,0.000901
32,126.236,1.21797,1.40714,1.18685,0.63003,0.49904,0.49721,0.33232,1.18591,1.54717,1.09647,0.0008977,0.0008977,0.0008977
33,129.537,1.25195,1.44932,1.20866,0.5706,0.51341,0.45778,0.30801,1.21402,1.53674,1.13431,0.0008944,0.0008944,0.0008944
34,132.901,1.21144,1.35936,1.17555,0.6391,0.52381,0.50359,0.33925,1.22264,1.46637,1.10885,0.0008911,0.0008911,0.0008911
35,136.242,1.21004,1.36488,1.18255,0.71546,0.55717,0.55398,0.35337,1.35753,1.46082,1.15604,0.0008878,0.0008878,0.0008878
36,139.622,1.21315,1.3149,1.16198,0.67394,0.55907,0.54806,0.36932,1.19475,1.41993,1.11153,0.0008845,0.0008845,0.0008845
37,144.219,1.17721,1.27764,1.1639,0.68208,0.53505,0.55654,0.3521,1.34437,1.36808,1.17467,0.0008812,0.0008812,0.0008812
38,147.482,1.16983,1.23763,1.17821,0.68218,0.56171,0.5627,0.35794,1.27762,1.37026,1.14964,0.0008779,0.0008779,0.0008779
39,150.702,1.19977,1.33992,1.17563,0.6625,0.6236,0.57091,0.37051,1.26729,1.37347,1.11722,0.0008746,0.0008746,0.0008746
40,154.055,1.17472,1.2671,1.16058,0.69313,0.57798,0.54997,0.36309,1.2403,1.39506,1.11488,0.0008713,0.0008713,0.0008713
41,157.304,1.17208,1.27856,1.17446,0.69056,0.58867,0.57539,0.38708,1.16909,1.32469,1.1009,0.000868,0.000868,0.000868
42,160.716,1.16617,1.26935,1.18096,0.66701,0.60216,0.5987,0.42447,1.1855,1.30034,1.12432,0.0008647,0.0008647,0.0008647
43,164.053,1.16899,1.2437,1.16401,0.69477,0.57776,0.55298,0.38019,1.1219,1.37026,1.09659,0.0008614,0.0008614,0.0008614
44,167.283,1.1404,1.26584,1.1401,0.6223,0.58178,0.52631,0.36616,1.13631,1.4146,1.10092,0.0008581,0.0008581,0.0008581
45,170.528,1.1393,1.25331,1.13663,0.70536,0.53773,0.56158,0.38927,1.09874,1.32965,1.1004,0.0008548,0.0008548,0.0008548
46,174.87,1.15057,1.22677,1.14732,0.64478,0.59068,0.52564,0.37769,1.12272,1.36014,1.0865,0.0008515,0.0008515,0.0008515
47,178.139,1.15971,1.26437,1.15106,0.72106,0.47475,0.53724,0.36086,1.14731,1.37763,1.08926,0.0008482,0.0008482,0.0008482
48,181.5,1.10448,1.19784,1.14288,0.62604,0.57808,0.55575,0.3964,1.07137,1.31655,1.07181,0.0008449,0.0008449,0.0008449
49,184.773,1.1392,1.20799,1.15844,0.47244,0.60766,0.54658,0.34884,1.18524,1.37417,1.12408,0.0008416,0.0008416,0.0008416
50,188.026,1.12342,1.19097,1.13551,0.69907,0.53498,0.52049,0.36661,1.06901,1.3822,1.06269,0.0008383,0.0008383,0.0008383
51,191.257,1.07819,1.15272,1.10489,0.67262,0.54796,0.49832,0.3603,1.05042,1.41961,1.05956,0.000835,0.000835,0.000835
52,194.562,1.10746,1.14441,1.09654,0.74846,0.4894,0.54723,0.38492,1.10211,1.30949,1.07616,0.0008317,0.0008317,0.0008317
53,197.868,1.1322,1.14396,1.13104,0.71278,0.48047,0.53184,0.36901,1.10528,1.34015,1.06659,0.0008284,0.0008284,0.0008284
54,201.107,1.13213,1.16891,1.12953,0.70586,0.52462,0.53575,0.33942,1.44764,1.4904,1.20877,0.0008251,0.0008251,0.0008251
55,204.308,1.09731,1.13049,1.12895,0.70568,0.54201,0.56455,0.38307,1.26201,1.3238,1.13268,0.0008218,0.0008218,0.0008218
56,208.74,1.07686,1.11614,1.12156,0.6598,0.49824,0.50575,0.3718,1.11232,1.37323,1.08751,0.0008185,0.0008185,0.0008185
