epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
10,45.6716,1.49742,1.96445,1.33878,0.48182,0.38881,0.29664,0.17174,1.5285,2.30157,1.3082,0.0009703,0.0009703,0.0009703
11,49.8966,1.44378,1.9078,1.28049,0.56167,0.35646,0.35723,0.20514,1.38189,1.76692,1.1918,0.000967,0.000967,0.000967
12,54.2951,1.38685,1.84634,1.26836,0.51583,0.44644,0.35423,0.21862,1.37246,1.72923,1.20174,0.0009637,0.0009637,0.0009637
13,59.3708,1.39133,1.80964,1.25071,0.51498,0.44739,0.36722,0.24057,1.25658,1.64493,1.15342,0.0009604,0.0009604,0.0009604
14,66.1243,1.38873,1.83415,1.24287,0.45206,0.48573,0.329,0.21036,1.34132,1.75483,1.14366,0.0009571,0.0009571,0.0009571
1,10.7473,1.88397,4.37471,1.53119,0.03852,0.15424,0.04803,0.02044,1.99882,3.85415,1.48332,0.0679429,0.00032381,0.00032381
15,71.9488,1.40226,1.82692,1.24363,0.63961,0.40887,0.3926,0.25408,1.2343,1.67507,1.11052,0.0009538,0.0009538,0.0009538
2,17.3303,1.71261,3.08549,1.42894,0.33393,0.07857,0.12757,0.0694,1.59082,3.12725,1.2606,0.0349407,0.000654974,0.000654974
16,78.1638,1.34162,1.69498,1.23116,0.55563,0.39661,0.39691,0.27043,1.19537,1.63691,1.11891,0.0009505,0.0009505,0.0009505
3,23.5842,1.66717,2.58113,1.39725,0.41864,0.28294,0.21382,0.10847,1.65427,2.17097,1.28151,0.00193632,0.000983939,0.000983939
17,84.454,1.32922,1.71607,1.21591,0.57434,0.47609,0.43407,0.28891,1.19888,1.61524,1.09844,0.0009472,0.0009472,0.0009472
4,29.8264,1.64073,2.39298,1.40558,0.3324,0.35807,0.1911,0.11294,1.47708,3.18242,1.22753,0.0009901,0.0009901,0.0009901
18,90.1578,1.31181,1.65758,1.19543,0.63434,0.45461,0.43891,0.28779,1.26744,1.59735,1.14765,0.0009439,0.0009439,0.0009439
5,36.7644,1.55852,2.35052,1.32041,0.418,0.34206,0.21971,0.13832,1.37465,3.3643,1.25136,0.0009868,0.0009868,0.0009868
19,96.6798,1.35426,1.70044,1.25236,0.61506,0.40691,0.42034,0.27784,1.2429,1.53335,1.1345,0.0009406,0.0009406,0.0009406
6,43.5928,1.55246,2.23329,1.33755,0.50192,0.40623,0.33963,0.18737,1.39852,2.06875,1.21286,0.0009835,0.0009835,0.0009835
20,102.703,1.34379,1.67763,1.22407,0.53506,0.54216,0.40411,0.25567,1.23939,1.56812,1.13071,0.0009373,0.0009373,0.0009373
7,49.9228,1.53961,2.14797,1.32342,0.51526,0.27593,0.2839,0.17315,1.4388,2.20977,1.22325,0.0009802,0.0009802,0.0009802
21,108.67,1.3113,1.6381,1.19784,0.44186,0.43163,0.42069,0.26899,1.21641,1.76612,1.12232,0.000934,0.000934,0.000934
8,56.2221,1.48983,2.06506,1.29007,0.47288,0.37512,0.30118,0.1798,1.37616,1.88567,1.22427,0.0009769,0.0009769,0.0009769
22,114.975,1.29456,1.58155,1.18784,0.61585,0.43293,0.42919,0.28413,1.15711,1.63834,1.11128,0.0009307,0.0009307,0.0009307
9,62.4413,1.48588,2.02634,1.32428,0.5693,0.36418,0.34026,0.21725,1.39965,1.93465,1.21914,0.0009736,0.0009736,0.0009736
23,120.705,1.33931,1.59485,1.2056,0.60147,0.40833,0.40826,0.27676,1.06481,1.62466,1.06907,0.0009274,0.0009274,0.0009274
10,68.8227,1.49742,1.96445,1.33878,0.48182,0.38881,0.29664,0.17174,1.5285,2.30157,1.3082,0.0009703,0.0009703,0.0009703
24,126.932,1.31814,1.59376,1.20887,0.54996,0.53782,0.42106,0.2652,1.23242,1.70061,1.12412,0.0009241,0.0009241,0.0009241
11,75.3297,1.44378,1.9078,1.28049,0.56167,0.35646,0.35723,0.20514,1.38189,1.76692,1.1918,0.000967,0.000967,0.000967
25,133.291,1.29364,1.51983,1.18559,0.64469,0.47313,0.46932,0.31642,1.19003,1.76358,1.10395,0.0009208,0.0009208,0.0009208
12,81.5342,1.38685,1.84634,1.26836,0.51583,0.44644,0.35423,0.21862,1.37246,1.72923,1.20174,0.0009637,0.0009637,0.0009637
26,139.598,1.26451,1.49211,1.18061,0.63904,0.48066,0.48128,0.31085,1.16402,1.49102,1.08397,0.0009175,0.0009175,0.0009175
13,87.8084,1.39133,1.80964,1.25071,0.51498,0.44739,0.36722,0.24057,1.25658,1.64493,1.15342,0.0009604,0.0009604,0.0009604
27,145.787,1.29187,1.51034,1.17892,0.65953,0.43322,0.46191,0.30852,1.14697,1.40725,1.08927,0.0009142,0.0009142,0.0009142
14,94.078,1.38873,1.83415,1.24287,0.45206,0.48573,0.329,0.21036,1.34132,1.75483,1.14366,0.0009571,0.0009571,0.0009571
28,152.069,1.27134,1.47742,1.18496,0.56297,0.4999,0.44612,0.28079,1.24466,1.51817,1.12411,0.0009109,0.0009109,0.0009109
29,158.36,1.28463,1.47779,1.17708,0.6242,0.51042,0.49,0.29208,1.42116,1.66674,1.2069,0.0009076,0.0009076,0.0009076
15,100.465,1.40226,1.82692,1.24363,0.63961,0.40887,0.3926,0.25408,1.2343,1.67507,1.11052,0.0009538,0.0009538,0.0009538
30,164.541,1.26165,1.49475,1.18026,0.58501,0.54836,0.46399,0.28943,1.33967,1.45962,1.14564,0.0009043,0.0009043,0.0009043
16,106.805,1.34162,1.69498,1.23116,0.55563,0.39661,0.39691,0.27043,1.19537,1.63691,1.11891,0.0009505,0.0009505,0.0009505
31,170.671,1.29354,1.45362,1.19886,0.38402,0.55803,0.45186,0.28754,1.15123,1.54084,1.09921,0.000901,0.000901,0.000901
17,113.158,1.32922,1.71607,1.21591,0.57434,0.47609,0.43407,0.28891,1.19888,1.61524,1.09844,0.0009472,0.0009472,0.0009472
32,176.9,1.28273,1.37448,1.19427,0.57907,0.5106,0.44206,0.28847,1.15732,1.54375,1.09496,0.0008977,0.0008977,0.0008977
18,119.346,1.31181,1.65758,1.19543,0.63434,0.45461,0.43891,0.28779,1.26744,1.59735,1.14765,0.0009439,0.0009439,0.0009439
33,183.031,1.2484,1.36593,1.17268,0.48376,0.45517,0.45062,0.28475,1.19758,1.62648,1.10389,0.0008944,0.0008944,0.0008944
19,125.383,1.35426,1.70044,1.25236,0.61506,0.40691,0.42034,0.27784,1.2429,1.53335,1.1345,0.0009406,0.0009406,0.0009406
34,189.36,1.2475,1.38534,1.18007,0.61825,0.55133,0.47853,0.30872,1.20615,1.5039,1.10177,0.0008911,0.0008911,0.0008911
20,131.684,1.34379,1.67763,1.22407,0.53506,0.54216,0.40411,0.25567,1.23939,1.56812,1.13071,0.0009373,0.0009373,0.0009373
35,195.595,1.21638,1.35682,1.14822,0.60451,0.49781,0.43842,0.27977,1.22937,1.5046,1.12031,0.0008878,0.0008878,0.0008878
21,137.898,1.3113,1.6381,1.19784,0.44186,0.43163,0.42069,0.26899,1.21641,1.76612,1.12232,0.000934,0.000934,0.000934
36,201.727,1.18688,1.30705,1.13703,0.62767,0.54032,0.46022,0.2998,1.20321,1.47932,1.09248,0.0008845,0.0008845,0.0008845
22,144.136,1.29456,1.58155,1.18784,0.61585,0.43293,0.42919,0.28413,1.15711,1.63834,1.11128,0.0009307,0.0009307,0.0009307
37,207.917,1.27319,1.39114,1.18555,0.64338,0.53047,0.47325,0.31992,1.1192,1.48216,1.08429,0.0008812,0.0008812,0.0008812
