epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.492,1.50655,3.872,1.32052,0.47898,0.54325,0.49338,0.31845,1.21855,1.764,1.14563,0.00332551,0.00332551,0.00332551
2,200.039,1.372,2.47904,1.2538,0.56618,0.61378,0.58416,0.37079,1.25974,1.55846,1.19961,0.00662588,0.00662588,0.00662588
3,287.534,1.42484,2.15975,1.29736,0.36615,0.35448,0.27199,0.1511,1.55335,2.656,1.3936,0.00989325,0.00989325,0.00989325
4,374.968,1.47619,1.91291,1.34349,0.5259,0.45732,0.4579,0.27004,1.42066,1.9295,1.34814,0.0098515,0.0098515,0.0098515
5,462.221,1.40531,1.66814,1.30687,0.65245,0.61119,0.61676,0.38192,1.30955,1.44722,1.27173,0.009802,0.009802,0.009802
6,549.158,1.36196,1.5393,1.27322,0.59706,0.64179,0.60964,0.39382,1.23625,1.44009,1.21665,0.0097525,0.0097525,0.0097525
7,635.532,1.31778,1.43079,1.24704,0.67972,0.68262,0.69054,0.45283,1.19377,1.25262,1.19968,0.009703,0.009703,0.009703
8,718.753,1.28247,1.36465,1.22581,0.69345,0.65736,0.70334,0.46687,1.14621,1.16531,1.173,0.0096535,0.0096535,0.0096535
9,772.923,1.26203,1.30753,1.21563,0.6988,0.65693,0.69912,0.45737,1.16035,1.15852,1.18892,0.009604,0.009604,0.009604
10,827.106,1.24457,1.26036,1.2085,0.6981,0.67864,0.72161,0.48863,1.12829,1.16867,1.17099,0.0095545,0.0095545,0.0095545
11,880.899,1.22277,1.2303,1.19672,0.68805,0.71476,0.73817,0.49308,1.12286,1.10552,1.15702,0.009505,0.009505,0.009505
12,935.472,1.20993,1.19953,1.18859,0.71948,0.67211,0.72788,0.4916,1.10224,1.08628,1.14978,0.0094555,0.0094555,0.0094555
13,990.576,1.20403,1.17019,1.1803,0.70545,0.71534,0.75195,0.51081,1.10787,1.04712,1.14525,0.009406,0.009406,0.009406
14,1045.83,1.18544,1.13605,1.17437,0.7261,0.70488,0.75122,0.51099,1.09162,1.09226,1.13519,0.0093565,0.0093565,0.0093565
15,1107.78,1.16751,1.1086,1.1601,0.78028,0.68605,0.77377,0.53589,1.05556,1.00349,1.12644,0.009307,0.009307,0.009307
16,1194.74,1.15912,1.09065,1.15529,0.75471,0.7414,0.77905,0.54272,1.05244,0.98462,1.11814,0.0092575,0.0092575,0.0092575
17,1282.94,1.14953,1.06717,1.1522,0.74845,0.71703,0.78192,0.54405,1.04484,0.9788,1.11724,0.009208,0.009208,0.009208
18,1371.89,1.14412,1.05854,1.15097,0.7667,0.74707,0.79801,0.5496,1.02447,0.94448,1.10805,0.0091585,0.0091585,0.0091585
19,1461.45,1.12787,1.03302,1.13435,0.77352,0.73116,0.78082,0.54815,1.037,0.9611,1.10777,0.009109,0.009109,0.009109
20,1552.68,1.13117,1.02197,1.14071,0.76855,0.7193,0.77365,0.54325,1.03981,0.98111,1.11429,0.0090595,0.0090595,0.0090595
21,1644.54,1.11496,0.99928,1.12604,0.76487,0.75173,0.79611,0.56313,1.01958,0.93801,1.09794,0.00901,0.00901,0.00901
22,1733.22,1.10485,0.97798,1.12562,0.80129,0.70977,0.79203,0.56845,1.00963,0.93491,1.09486,0.0089605,0.0089605,0.0089605
23,1822.17,1.10468,0.97257,1.12394,0.78911,0.74933,0.81304,0.57435,1.01071,0.90836,1.09262,0.008911,0.008911,0.008911
24,1891.37,1.10254,0.9679,1.12565,0.76944,0.78342,0.81878,0.58584,0.99783,0.89409,1.09335,0.0088615,0.0088615,0.0088615
25,1945.64,1.09152,0.9585,1.11279,0.77856,0.76496,0.80581,0.57072,1.01292,0.90045,1.09969,0.008812,0.008812,0.008812
26,2000.43,1.08574,0.93716,1.11116,0.79991,0.77137,0.82819,0.59058,0.99981,0.86667,1.09036,0.0087625,0.0087625,0.0087625
27,2055.3,1.07858,0.92787,1.11238,0.79871,0.75371,0.8182,0.58581,1.00097,0.88206,1.09163,0.008713,0.008713,0.008713
28,2109.93,1.07033,0.92064,1.10713,0.79635,0.75147,0.82159,0.59105,0.99781,0.86876,1.10255,0.0086635,0.0086635,0.0086635
29,2164.54,1.06768,0.91209,1.10439,0.78687,0.77238,0.82774,0.59348,0.99101,0.85966,1.09055,0.008614,0.008614,0.008614
30,2219.64,1.06469,0.88665,1.10272,0.82003,0.76881,0.82851,0.59404,0.98833,0.86149,1.08669,0.0085645,0.0085645,0.0085645
31,2274.88,1.06078,0.89521,1.09603,0.80328,0.75981,0.82721,0.59954,0.98491,0.85357,1.07676,0.008515,0.008515,0.008515
32,2330.14,1.05503,0.87962,1.09767,0.81,0.76556,0.83097,0.60236,0.97024,0.83449,1.07862,0.0084655,0.0084655,0.0084655
33,2384.93,1.05291,0.86579,1.09599,0.78627,0.79629,0.83511,0.601,0.97284,0.83818,1.08064,0.008416,0.008416,0.008416
34,2439.8,1.04689,0.85888,1.09095,0.83087,0.75998,0.83278,0.6054,0.96905,0.84248,1.07469,0.0083665,0.0083665,0.0083665
35,2493.54,1.04279,0.84585,1.08813,0.79907,0.78461,0.84302,0.61834,0.95819,0.81846,1.06767,0.008317,0.008317,0.008317
36,2546.89,1.0357,0.8466,1.08193,0.79851,0.78798,0.83385,0.60183,0.97038,0.84018,1.07159,0.0082675,0.0082675,0.0082675
37,2600.9,1.03555,0.84157,1.08564,0.7947,0.81239,0.84555,0.61002,0.96121,0.82608,1.06609,0.008218,0.008218,0.008218
38,2654.83,1.02658,0.823,1.08275,0.81621,0.78934,0.84227,0.61237,0.96328,0.82089,1.07116,0.0081685,0.0081685,0.0081685
39,2708.02,1.02146,0.81981,1.07721,0.82457,0.77543,0.84188,0.61581,0.95575,0.82269,1.06664,0.008119,0.008119,0.008119
40,2761.69,1.0262,0.81748,1.07938,0.84464,0.77954,0.84856,0.62241,0.95203,0.81073,1.05926,0.0080695,0.0080695,0.0080695
41,2815.99,1.01739,0.80598,1.07379,0.81491,0.80357,0.85053,0.62339,0.95273,0.79855,1.05972,0.00802,0.00802,0.00802
42,2869.52,1.01827,0.80288,1.07316,0.79961,0.79153,0.84557,0.62276,0.95013,0.8112,1.0623,0.0079705,0.0079705,0.0079705
43,2923.54,1.00596,0.79525,1.07693,0.83118,0.78712,0.84973,0.62451,0.95124,0.80411,1.06345,0.007921,0.007921,0.007921
44,2976.94,1.01192,0.80004,1.07014,0.83074,0.77112,0.84013,0.62156,0.94628,0.814,1.06069,0.0078715,0.0078715,0.0078715
45,3030.22,1.00836,0.78906,1.06893,0.81534,0.79203,0.84536,0.62174,0.94505,0.80841,1.05993,0.007822,0.007822,0.007822
46,3083.3,1.00402,0.78031,1.07171,0.83969,0.77233,0.84962,0.62735,0.94125,0.79754,1.05756,0.0077725,0.0077725,0.0077725
47,3136.84,1.00153,0.77726,1.0626,0.83281,0.78944,0.84459,0.62282,0.9408,0.80584,1.05434,0.007723,0.007723,0.007723
48,3189.99,1.00473,0.7784,1.06976,0.84546,0.77796,0.84449,0.62048,0.94476,0.80866,1.05748,0.0076735,0.0076735,0.0076735
49,3243.09,0.99213,0.76459,1.06506,0.83998,0.78108,0.84984,0.62705,0.94521,0.80173,1.05679,0.007624,0.007624,0.007624
50,3296.5,0.99724,0.75918,1.06686,0.81477,0.79569,0.8493,0.63021,0.94688,0.80531,1.05785,0.0075745,0.0075745,0.0075745
51,3350.48,0.99058,0.75289,1.0627,0.83061,0.80114,0.8523,0.63394,0.94441,0.80163,1.05694,0.007525,0.007525,0.007525
52,3406.63,0.98367,0.75458,1.06014,0.82605,0.79524,0.85279,0.6335,0.93486,0.80075,1.0534,0.0074755,0.0074755,0.0074755
53,3461.35,0.98799,0.74958,1.05874,0.83006,0.8018,0.85701,0.63698,0.93366,0.79401,1.05223,0.007426,0.007426,0.007426
54,3516.96,0.97893,0.7466,1.05813,0.82936,0.80124,0.85718,0.63658,0.93494,0.7945,1.05311,0.0073765,0.0073765,0.0073765
55,3571.3,0.98422,0.73769,1.05678,0.83302,0.80062,0.85801,0.64091,0.93537,0.79065,1.05494,0.007327,0.007327,0.007327
56,3626.66,0.98194,0.73058,1.05379,0.83548,0.80301,0.85702,0.63821,0.93143,0.79031,1.05293,0.0072775,0.0072775,0.0072775
57,3683.06,0.97605,0.73417,1.05219,0.84021,0.80262,0.85935,0.64076,0.9318,0.79376,1.05275,0.007228,0.007228,0.007228
58,3740.58,0.96984,0.7214,1.04924,0.83257,0.79882,0.85986,0.64258,0.92897,0.78925,1.0507,0.0071785,0.0071785,0.0071785
59,3795.94,0.96493,0.71231,1.05119,0.83773,0.79714,0.85915,0.64313,0.92815,0.79055,1.0508,0.007129,0.007129,0.007129
60,3849.26,0.96667,0.71393,1.04477,0.86607,0.77881,0.86058,0.64274,0.92685,0.7912,1.04884,0.0070795,0.0070795,0.0070795
61,3902.6,0.9588,0.70672,1.04655,0.84228,0.79992,0.86107,0.64013,0.92811,0.7947,1.04912,0.00703,0.00703,0.00703
62,3956.25,0.95628,0.70604,1.04364,0.85448,0.78758,0.86028,0.64024,0.92799,0.79893,1.05028,0.0069805,0.0069805,0.0069805
63,4010.1,0.95387,0.70017,1.04157,0.84501,0.7949,0.85903,0.63826,0.93015,0.79826,1.05188,0.006931,0.006931,0.006931
64,4064.42,0.95641,0.70329,1.04613,0.83296,0.80872,0.85868,0.64016,0.92919,0.79685,1.05163,0.0068815,0.0068815,0.0068815
65,4119.1,0.95016,0.69556,1.04172,0.83367,0.81035,0.85724,0.6395,0.93039,0.80375,1.05141,0.006832,0.006832,0.006832
66,4175.25,0.94987,0.69084,1.04085,0.83693,0.80246,0.85687,0.63595,0.93106,0.80825,1.05155,0.0067825,0.0067825,0.0067825
67,4230.2,0.9421,0.68147,1.03608,0.83051,0.80024,0.85679,0.63772,0.92914,0.80597,1.05088,0.006733,0.006733,0.006733
68,4285.05,0.94744,0.68411,1.04141,0.83073,0.80178,0.85761,0.63743,0.92873,0.80675,1.05111,0.0066835,0.0066835,0.0066835
69,4340.83,0.94395,0.68069,1.03923,0.84744,0.78526,0.85775,0.63821,0.92706,0.80155,1.05025,0.006634,0.006634,0.006634
