detection_id,image_id,image_path,timestamp,location,ml_classification,corrected_classification,final_classification,confidence,is_reviewed,reviewed_by,bbox_x1,bbox_y1,bbox_x2,bbox_y2,notes
19b1f20f-5b8f-41f8-b797-547f2d6f92ca,a1bf2490-c872-4ee2-8b60-2b9c220e1a00,/mnt/images/Sanctuary/SANCTUARY_03174.jpg,2022-04-28T04:03:28+00:00,Sanctuary,unknown,doe,doe,0.817,True,user,192,338,249,413,
940f6da3-09b1-4c99-8664-22c709fb29fb,a1bf2490-c872-4ee2-8b60-2b9c220e1a00,/mnt/images/Sanctuary/SANCTUARY_03174.jpg,2022-04-28T04:03:28+00:00,Sanctuary,unknown,doe,doe,0.507,True,user,305,300,383,344,
9c0971cf-ea45-46a6-9252-f62fa5f5d83d,a1bf2490-c872-4ee2-8b60-2b9c220e1a00,/mnt/images/Sanctuary/SANCTUARY_03174.jpg,2022-04-28T04:03:28+00:00,Sanctuary,doe,doe,doe,0.770,True,user,195,339,246,409,
a61a9fe1-725f-45c0-a239-aeb5b690aeab,a1bf2490-c872-4ee2-8b60-2b9c220e1a00,/mnt/images/Sanctuary/SANCTUARY_03174.jpg,2022-04-28T04:03:28+00:00,Sanctuary,doe,doe,doe,0.770,True,user,195,339,246,409,
ccbba79f-adbe-4199-b14b-8afbf94ce19c,59b80496-33e9-4ddc-a10e-3d548855186f,/mnt/images/Sanctuary/SANCTUARY_05056.jpg,2022-05-16T02:37:33+00:00,Sanctuary,unknown,buck,buck,0.853,True,user,478,266,546,342,Young Buck
3b8a67ca-973c-417c-88c4-1de2307b955f,a2a34227-cc32-4da1-8c13-2de58595971e,/mnt/images/Hayfield/HAYFIELD_01361.jpg,2022-05-10T01:22:50+00:00,Hayfield,unknown,buck,buck,0.599,True,user,519,217,569,276,
cf8f631d-4a09-409e-a54c-3302f6aed4ce,a1bf2490-c872-4ee2-8b60-2b9c220e1a00,/mnt/images/Sanctuary/SANCTUARY_03174.jpg,2022-04-28T04:03:28+00:00,Sanctuary,doe,doe,doe,0.770,True,user,195,339,246,409,
c7d7cc70-1195-474f-9bdf-e86b3befb4a0,caaef170-f317-4f1a-897f-db95cc3861ba,/mnt/images/Sanctuary/SANCTUARY_03981.jpg,2022-05-03T02:33:08+00:00,Sanctuary,unknown,doe,doe,0.824,True,user,460,361,517,443,
dc432528-f99b-4da6-9f06-3d1b21c98add,6a4b9c9a-8761-488e-afba-5a5e441d027a,/mnt/images/Sanctuary/SANCTUARY_05765.jpg,2022-05-25T02:26:23+00:00,Sanctuary,unknown,doe,doe,0.919,True,user,391,264,491,343,
e0ddae99-590d-4657-90cb-6cdaee9de237,6a4b9c9a-8761-488e-afba-5a5e441d027a,/mnt/images/Sanctuary/SANCTUARY_05765.jpg,2022-05-25T02:26:23+00:00,Sanctuary,doe,doe,doe,0.895,True,user,387,262,490,345,
70d20914-6717-4c05-a9cc-d7cc8059d269,59b80496-33e9-4ddc-a10e-3d548855186f,/mnt/images/Sanctuary/SANCTUARY_05056.jpg,2022-05-16T02:37:33+00:00,Sanctuary,unknown,buck,buck,0.853,True,user,478,266,546,342,Young Buck
c6e3f975-ef61-434d-949d-cd2de08e582a,59b80496-33e9-4ddc-a10e-3d548855186f,/mnt/images/Sanctuary/SANCTUARY_05056.jpg,2022-05-16T02:37:33+00:00,Sanctuary,doe,buck,buck,0.872,True,user,478,264,546,341,Young Buck
e2f495a9-f47d-43b2-ba26-d07a9ab89e9d,59b80496-33e9-4ddc-a10e-3d548855186f,/mnt/images/Sanctuary/SANCTUARY_05056.jpg,2022-05-16T02:37:33+00:00,Sanctuary,unknown,buck,buck,0.853,True,user,478,266,546,342,Young Buck
c146a9f0-a103-4762-b4e8-67b60b104e1b,e5072889-ddc4-496e-af37-e66ee1ebfc69,/mnt/images/270_Jason/270_JASON_01056.jpg,2022-06-26T02:14:51+00:00,270_Jason,unknown,doe,doe,0.889,True,user,158,216,235,276,
d4371ee2-6f04-481f-bce7-498fd00d05b4,e5072889-ddc4-496e-af37-e66ee1ebfc69,/mnt/images/270_Jason/270_JASON_01056.jpg,2022-06-26T02:14:51+00:00,270_Jason,unknown,buck,buck,0.889,True,user,158,216,235,276,
62d6abda-92cc-4bb0-975b-cfcd953c8ef8,f6e97e8e-43b9-4695-87e2-29e6fc565f1b,/mnt/images/270_Jason/270_JASON_01055.jpg,2022-06-26T02:09:53+00:00,270_Jason,doe,buck,buck,0.895,True,user,164,228,232,285,
681e4d04-4828-4d91-92d1-ed023bf060f4,06b8649f-2096-4cc2-b4a1-8b3cca19275e,/mnt/images/TinMan/TINMAN_00093.jpg,2022-04-09T23:26:38+00:00,TinMan,unknown,buck,buck,0.754,True,user,517,165,639,463,Young Buck
a11ad682-544d-4784-9a52-0f79540df820,89da4c81-9430-4eb3-a830-1deff76eb7f5,/mnt/images/Sanctuary/SANCTUARY_04240.jpg,2022-05-05T12:11:21+00:00,Sanctuary,unknown,doe,doe,0.622,True,user,381,101,553,348,
ae4fb443-fa87-4d5d-812a-c4a1d81ce4a3,89da4c81-9430-4eb3-a830-1deff76eb7f5,/mnt/images/Sanctuary/SANCTUARY_04240.jpg,2022-05-05T12:11:21+00:00,Sanctuary,unknown,buck,buck,0.870,True,user,106,212,152,260,
ae51f5bd-0428-481c-83fc-1bf03e59588c,89da4c81-9430-4eb3-a830-1deff76eb7f5,/mnt/images/Sanctuary/SANCTUARY_04240.jpg,2022-05-05T12:11:21+00:00,Sanctuary,young,buck,buck,0.787,True,user,103,202,154,263,
08efcca0-49a1-4363-b857-fb6ef3125c9f,e81c330c-c2c3-4672-92a0-090e7a0dd02b,/mnt/images/Sanctuary/SANCTUARY_05845.jpg,2022-06-04T12:06:55+00:00,Sanctuary,unknown,cattle,cattle,0.728,True,user,382,103,546,331,
c57c83b2-7ec3-4690-9952-00b59d65850a,f73b2be3-6d75-477b-897a-66c540c34c16,/mnt/images/Camphouse/CAMPHOUSE_00097.jpg,2022-03-03T13:10:04+00:00,Camphouse,doe,doe,doe,0.847,True,user,477,360,532,429,
00b3a87f-8a22-47a9-9a3f-0ac204a161e6,6a4b9c9a-8761-488e-afba-5a5e441d027a,/mnt/images/Sanctuary/SANCTUARY_05765.jpg,2022-05-25T02:26:23+00:00,Sanctuary,doe,doe,doe,0.895,True,user,387,262,490,345,
3786f46d-455c-4570-960a-83fdabdcf965,6a4b9c9a-8761-488e-afba-5a5e441d027a,/mnt/images/Sanctuary/SANCTUARY_05765.jpg,2022-05-25T02:26:23+00:00,Sanctuary,unknown,doe,doe,0.919,True,user,391,264,491,343,
260425d3-3f38-4cff-bbcc-79d73c312005,1be8444f-39c2-40ef-8807-8fcf8528db09,/mnt/images/TinMan/TINMAN_00146.jpg,2022-04-25T01:24:34+00:00,TinMan,unknown,doe,doe,0.882,True,user,0,330,111,461,
1a75a42a-3765-48a1-8576-2eafd910f8f1,e3581399-617d-4652-beba-328eaf48bd1f,/mnt/images/Phils_Secret_Spot/PHILS_SECRET_SPOT_00080.jpg,2021-08-28T17:50:03+00:00,Phils_Secret_Spot,unknown,no animals,no animals,0.673,True,user,1252,1215,1419,1297,
a1b9edf4-cee6-4ac6-9889-f727609180cc,d929fe08-4fc4-40c0-bec3-9963aa1b244b,/mnt/images/Phils_Secret_Spot/PHILS_SECRET_SPOT_00081.jpg,2021-08-28T17:50:55+00:00,Phils_Secret_Spot,unknown,no animals,no animals,0.708,True,user,1257,1211,1410,1296,
babd73ad-da3a-47b3-bf1e-c20286f7f251,60da0718-41c4-4e26-897e-ec1d9134044c,/mnt/images/Phils_Secret_Spot/PHILS_SECRET_SPOT_00013.jpg,2021-08-28T14:13:08+00:00,Phils_Secret_Spot,unknown,no animals,no animals,0.662,True,user,2425,794,2559,1885,
d2cb14d4-5fe9-4400-8aee-358cecfeecf3,acd99d6d-f14d-497e-a82c-f18b1f65c223,/mnt/images/Phils_Secret_Spot/PHILS_SECRET_SPOT_00073.jpg,2021-08-28T17:44:03+00:00,Phils_Secret_Spot,unknown,no animals,no animals,0.602,True,user,1255,1205,1415,1294,
f2f197a7-0119-4857-8f79-e5ed6d002917,dcaf6515-b767-42fe-a04c-fe93d2eed639,/mnt/images/Phils_Secret_Spot/PHILS_SECRET_SPOT_00082.jpg,2021-08-28T17:51:46+00:00,Phils_Secret_Spot,unknown,no animals,no animals,0.627,True,user,1252,1209,1405,1293,
267485f5-10ba-406a-8154-91d4587250f5,f0617b58-125a-402d-ae63-98c3bd7fc82a,/mnt/images/Phils_Secret_Spot/PHILS_SECRET_SPOT_00014.jpg,2021-08-28T14:13:56+00:00,Phils_Secret_Spot,unknown,vehicle,vehicle,0.733,True,user,2413,817,2559,1893,
75cfbc26-f875-47f7-a051-e4054a90373b,6de80c12-4d3c-481a-9eba-52ddcc5cf134,/mnt/images/Camphouse/CAMPHOUSE_04281.jpg,2022-06-29T02:56:55+00:00,Camphouse,unknown,pig,pig,0.856,True,user,255,217,306,256,
791dee9b-d3af-49d2-8ee0-a145888eb5e6,40efbc61-2d83-445e-adf8-f0ccbcbf1d82,/mnt/images/Camphouse/CAMPHOUSE_04261.jpg,2022-06-28T03:58:08+00:00,Camphouse,unknown,pig,pig,0.874,True,user,179,322,248,428,
03db449d-b6fb-44af-a42e-957f1445f478,1aeb8cbd-defa-4a4f-b68c-ca8f4353b591,/mnt/images/Camphouse/CAMPHOUSE_04284.jpg,2022-06-29T12:19:24+00:00,Camphouse,unknown,doe,doe,0.667,True,user,356,194,372,211,
0b41fc4a-8bd4-40f5-98d4-9c0906813846,1aeb8cbd-defa-4a4f-b68c-ca8f4353b591,/mnt/images/Camphouse/CAMPHOUSE_04284.jpg,2022-06-29T12:19:24+00:00,Camphouse,unknown,doe,doe,0.812,True,user,415,228,438,251,
